name,sex,count
Adiba,F,101
Adidas,M,16
Adie,F,156
Adiel,M,1166
Adiela,F,13
Adiella,F,27
Adielle,F,10
Adien,M,344
Adijah,F,6
Adika,M,13
Adikus,M,5
Adil,M,1108
Adila,F,33
Adilah,F,24
Adilee,F,143
Adileigh,F,14
Adilen,F,54
Adilena,F,21
Adilene,F,4685
Adileni,F,52
Adilenne,F,136
Adileny,F,39
Adiley,F,5
Adilia,F,20
Adiline,F,11
Adilson,M,50
Adilyn,F,1183
Adilyne,F,31
Adilynn,F,1110
Adilynne,F,67
Adin,M,2514
Adina,F,5759
Adinah,F,47
Adine,F,275
Adir,M,137
Adira,F,350
Adirah,F,5
Adis,M,210
Adisa,F,89
Adisen,F,179
Adison,F,2892
Adisson,F,81
Adisyn,F,947
Adisynn,F,73
Adisynne,F,50
Adit,M,246
Adith,M,82
Adithi,F,294
Adithri,F,12
Adithya,M,477
Aditi,F,2697
Aditri,F,104
Aditya,M,4202
Adiv,M,20
Adiva,F,83
Adiya,F,119
Adiyah,F,35
Adiyan,M,20
Adja,F,149
Adji,F,5
Adjoa,F,93
Adjua,F,5
Adlai,M,467
Adlan,M,5
Adlar,M,5
Adlea,F,5
Adlean,F,137
Adlee,F,377
Adlei,F,7
Adleigh,F,526
Adlemi,F,21
Adlen,F,11
Adlena,F,47
Adlene,F,177
Adler,M,1386
Adley,F,1154
Adlia,M,11
Adlie,F,15
Adlih,F,20
Adlin,F,41
Adlina,F,5
Adline,F,1177
Adly,F,19
Adlyn,F,109
Adlynn,F,55
Adma,M,23
Admir,M,184
Admiral,M,255
Admire,F,51
Adn,F,5
Adna,F,354
Adnaan,M,37
Adnan,M,1946
Adnel,M,5
Adner,M,12
Adniel,M,10
Adnrea,F,5
Adnrew,M,39
Ado,M,26
Adolf,M,1394
Adolfo,M,15018
Adoline,F,11
Adolph,M,18704
Adolpha,F,5
Adolphe,M,295
Adolphine,F,18
Adolpho,M,232
Adolphus,M,4082
Adom,M,140
Adomas,M,6
Adon,M,606
Adona,F,35
Adonai,M,477
Adonay,M,294
Adoncia,F,5
Adones,M,5
Adoni,M,79
Adonia,F,308
Adoniah,M,24
Adonias,M,98
Adonica,F,381
Adonijah,M,324
Adoniram,M,21
Adonis,M,6852
Adoniz,M,5
Adonna,F,623
Adonnis,M,338
Adontae,M,7
Adonte,M,172
Adonus,M,70
Adony,M,16
Adonya,F,14
Adonys,M,133
Adora,F,1533
Adorabella,F,21
Adorae,F,5
Adorah,F,15
Adore,F,136
Adoree,F,33
Adoria,F,92
Adorian,M,70
Adorion,M,6
Adorn,F,5
Adra,F,571
Adrain,M,4103
Adraine,F,222
Adrainne,F,13
Adran,M,36
Adraya,F,17
Adre,M,6
Adrea,F,715
Adream,F,45
Adrean,M,701
Adreana,F,900
Adreann,F,7
Adreanna,F,1487
Adreanne,F,109
Adreauna,F,5
Adree,F,21
